datasetSize;arrayType;sortType;time
2500;3;6;96030
2600;0;6;99251
2600;1;6;88707
2600;2;6;90594
2600;3;6;93088
2700;0;6;98585
2700;1;6;92508
2700;2;6;95587
2700;3;6;97785
2800;0;6;102983
2800;1;6;90929
2800;2;6;96436
2800;3;6;95044
2900;0;6;107030
2900;1;6;95207
2900;2;6;104664
2900;3;6;99075
3000;0;6;109430
3000;1;6;95499
3000;2;6;104696
3000;3;6;101127
3100;0;6;111879
3100;1;6;102220
3100;2;6;107976
3100;3;6;101800
3200;0;6;115951
3200;1;6;99197
3200;2;6;102870
3200;3;6;105234
3300;0;6;117125
3300;1;6;103401
3300;2;6;104365
3300;3;6;111067
3400;0;6;117263
3400;1;6;103432
3400;2;6;103268
3400;3;6;110771
3500;0;6;122104
3500;1;6;105142
3500;2;6;108005
3500;3;6;105692
3600;0;6;121257
3600;1;6;108097
3600;2;6;107265
3600;3;6;111407
3700;0;6;127569
3700;1;6;110315
3700;2;6;110643
3700;3;6;116572
3800;0;6;129601
3800;1;6;114818
3800;2;6;111838
3800;3;6;116552
3900;0;6;128924
3900;1;6;116143
3900;2;6;113816
3900;3;6;113977
4000;0;6;134610
4000;1;6;119521
4000;2;6;115916
4000;3;6;118459
4100;0;6;135997
4100;1;6;121640
4100;2;6;118803
4100;3;6;118074
50;0;7;15560
50;1;7;14778
50;2;7;14785
50;3;7;14929
100;0;7;19533
100;1;7;18983
100;2;7;18950
100;3;7;18935
150;0;7;24867
150;1;7;24003
150;2;7;23859
150;3;7;23847
200;0;7;28165
200;1;7;28494
200;2;7;29903
200;3;7;28180
250;0;7;31544
250;1;7;32198
250;2;7;34870
250;3;7;33092
300;0;7;36159
300;1;7;37271
300;2;7;38592
300;3;7;36991
100;0;7;19426
100;1;7;19401
100;2;7;19489
100;3;7;19451
200;0;7;27885
200;1;7;27996
200;2;7;27728
200;3;7;27653
300;0;7;37973
300;1;7;37362
300;2;7;35905
300;3;7;35882
400;0;7;44994
400;1;7;45733
400;2;7;45268
